ID    RAMA                                                 SENS       RIGOR     MATIZ     VALOR_HEX
R18   MATIZ: parentesis anidado                            no         estandar  1          6c 69 67 65 72 6f 20 28 28 61 29 20 62 29
R18   MATIZ: parentesis anidado                            si         critico   1          6c 69 67 65 72 6f 20 28 28 61 29 20 62 29
R18   MATIZ: parentesis anidado                            <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 28 61 29 20 62 29
R18   MATIZ: parentesis anidado                            quiza      critico   1          6c 69 67 65 72 6f 20 28 28 61 29 20 62 29
R19   MATIZ: dos parentesis                                no         estandar  1          6c 69 67 65 72 6f 20 28 61 29 20 28 62 29
R19   MATIZ: dos parentesis                                si         critico   1          6c 69 67 65 72 6f 20 28 61 29 20 28 62 29
R19   MATIZ: dos parentesis                                <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 61 29 20 28 62 29
R19   MATIZ: dos parentesis                                quiza      critico   1          6c 69 67 65 72 6f 20 28 61 29 20 28 62 29
R20   MATIZ: markdown envolviendo nivel+parentesis         no         estandar  1          2a 2a 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29 2a 2a
R20   MATIZ: markdown envolviendo nivel+parentesis         si         critico   1          2a 2a 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29 2a 2a
R20   MATIZ: markdown envolviendo nivel+parentesis         <ausente>  estandar  1          2a 2a 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29 2a 2a
R20   MATIZ: markdown envolviendo nivel+parentesis         quiza      critico   1          2a 2a 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29 2a 2a
R21   MATIZ: markdown solo en el nivel                     no         estandar  1          2a 2a 6c 69 67 65 72 6f 2a 2a 20 28 6c 6f 63 61 6c 29
R21   MATIZ: markdown solo en el nivel                     si         critico   1          2a 2a 6c 69 67 65 72 6f 2a 2a 20 28 6c 6f 63 61 6c 29
R21   MATIZ: markdown solo en el nivel                     <ausente>  estandar  1          2a 2a 6c 69 67 65 72 6f 2a 2a 20 28 6c 6f 63 61 6c 29
R21   MATIZ: markdown solo en el nivel                     quiza      critico   1          2a 2a 6c 69 67 65 72 6f 2a 2a 20 28 6c 6f 63 61 6c 29
R22   MATIZ: backtick solo en el nivel                     no         estandar  1          60 6c 69 67 65 72 6f 60 20 28 6c 6f 63 61 6c 29
R22   MATIZ: backtick solo en el nivel                     si         critico   1          60 6c 69 67 65 72 6f 60 20 28 6c 6f 63 61 6c 29
R22   MATIZ: backtick solo en el nivel                     <ausente>  estandar  1          60 6c 69 67 65 72 6f 60 20 28 6c 6f 63 61 6c 29
R22   MATIZ: backtick solo en el nivel                     quiza      critico   1          60 6c 69 67 65 72 6f 60 20 28 6c 6f 63 61 6c 29
R23   MATIZ: parentesis con tab dentro                     no         estandar  1          6c 69 67 65 72 6f 20 28 09 6c 6f 63 61 6c 09 29
R23   MATIZ: parentesis con tab dentro                     si         critico   1          6c 69 67 65 72 6f 20 28 09 6c 6f 63 61 6c 09 29
R23   MATIZ: parentesis con tab dentro                     <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 09 6c 6f 63 61 6c 09 29
R23   MATIZ: parentesis con tab dentro                     quiza      critico   1          6c 69 67 65 72 6f 20 28 09 6c 6f 63 61 6c 09 29
R24   MATIZ: parentesis con parentesis interior desbalanceado no         estandar  1          6c 69 67 65 72 6f 20 28 61 29 20 62 29
R24   MATIZ: parentesis con parentesis interior desbalanceado si         critico   1          6c 69 67 65 72 6f 20 28 61 29 20 62 29
R24   MATIZ: parentesis con parentesis interior desbalanceado <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 61 29 20 62 29
R24   MATIZ: parentesis con parentesis interior desbalanceado quiza      critico   1          6c 69 67 65 72 6f 20 28 61 29 20 62 29
R25   parentesis SIN CERRAR (no es parentesis, es texto)   no         estandar  1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c
R25   parentesis SIN CERRAR (no es parentesis, es texto)   si         critico   1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c
R25   parentesis SIN CERRAR (no es parentesis, es texto)   <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c
R25   parentesis SIN CERRAR (no es parentesis, es texto)   quiza      critico   1          6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c
R26   parentesis SIN ABRIR (no ends-with-( )               no         estandar  0          6c 69 67 65 72 6f 20 6c 6f 63 61 6c 29
R26   parentesis SIN ABRIR (no ends-with-( )               si         critico   0          6c 69 67 65 72 6f 20 6c 6f 63 61 6c 29
R26   parentesis SIN ABRIR (no ends-with-( )               <ausente>  estandar  0          6c 69 67 65 72 6f 20 6c 6f 63 61 6c 29
R26   parentesis SIN ABRIR (no ends-with-( )               quiza      critico   0          6c 69 67 65 72 6f 20 6c 6f 63 61 6c 29
R27   parentesis AL PRINCIPIO (no final)                   no         estandar  1          28 6c 6f 63 61 6c 29 20 6c 69 67 65 72 6f
R27   parentesis AL PRINCIPIO (no final)                   si         critico   1          28 6c 6f 63 61 6c 29 20 6c 69 67 65 72 6f
R27   parentesis AL PRINCIPIO (no final)                   <ausente>  estandar  1          28 6c 6f 63 61 6c 29 20 6c 69 67 65 72 6f
R27   parentesis AL PRINCIPIO (no final)                   quiza      critico   1          28 6c 6f 63 61 6c 29 20 6c 69 67 65 72 6f
R28   MATIZ sobre estandar                                 no         estandar  1          65 73 74 61 6e 64 61 72 20 28 78 29
R28   MATIZ sobre estandar                                 si         critico   1          65 73 74 61 6e 64 61 72 20 28 78 29
R28   MATIZ sobre estandar                                 <ausente>  estandar  1          65 73 74 61 6e 64 61 72 20 28 78 29
R28   MATIZ sobre estandar                                 quiza      critico   1          65 73 74 61 6e 64 61 72 20 28 78 29
R29   MATIZ sobre critico                                  no         critico   1          63 72 69 74 69 63 6f 20 28 70 6f 72 20 73 75 65 6c 6f 29
R29   MATIZ sobre critico                                  si         critico   1          63 72 69 74 69 63 6f 20 28 70 6f 72 20 73 75 65 6c 6f 29
R29   MATIZ sobre critico                                  <ausente>  critico   1          63 72 69 74 69 63 6f 20 28 70 6f 72 20 73 75 65 6c 6f 29
R29   MATIZ sobre critico                                  quiza      critico   1          63 72 69 74 69 63 6f 20 28 70 6f 72 20 73 75 65 6c 6f 29
R30   MATIZ sobre valor no reconocido                      no         estandar  1          62 61 73 75 72 61 20 28 78 29
R30   MATIZ sobre valor no reconocido                      si         critico   1          62 61 73 75 72 61 20 28 78 29
R30   MATIZ sobre valor no reconocido                      <ausente>  estandar  1          62 61 73 75 72 61 20 28 78 29
R30   MATIZ sobre valor no reconocido                      quiza      critico   1          62 61 73 75 72 61 20 28 78 29
R31   MATIZ: solo parentesis, sin nivel                    no         estandar  1          28 6c 6f 63 61 6c 29
R31   MATIZ: solo parentesis, sin nivel                    si         critico   1          28 6c 6f 63 61 6c 29
R31   MATIZ: solo parentesis, sin nivel                    <ausente>  estandar  1          28 6c 6f 63 61 6c 29
R31   MATIZ: solo parentesis, sin nivel                    quiza      critico   1          28 6c 6f 63 61 6c 29
R32   BOM delante del nivel                                no         estandar  0          ef bb bf 6c 69 67 65 72 6f
R32   BOM delante del nivel                                si         critico   0          ef bb bf 6c 69 67 65 72 6f
R32   BOM delante del nivel                                <ausente>  estandar  0          ef bb bf 6c 69 67 65 72 6f
R32   BOM delante del nivel                                quiza      critico   0          ef bb bf 6c 69 67 65 72 6f
R33   BOM delante + matiz                                  no         estandar  1          ef bb bf 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R33   BOM delante + matiz                                  si         critico   1          ef bb bf 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R33   BOM delante + matiz                                  <ausente>  estandar  1          ef bb bf 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R33   BOM delante + matiz                                  quiza      critico   1          ef bb bf 6c 69 67 65 72 6f 20 28 6c 6f 63 61 6c 29
R34   espacio de anchura cero dentro del nivel             no         estandar  0          6c 69 e2 80 8b 67 65 72 6f
R34   espacio de anchura cero dentro del nivel             si         critico   0          6c 69 e2 80 8b 67 65 72 6f
R34   espacio de anchura cero dentro del nivel             <ausente>  estandar  0          6c 69 e2 80 8b 67 65 72 6f
R34   espacio de anchura cero dentro del nivel             quiza      critico   0          6c 69 e2 80 8b 67 65 72 6f
R35   parentesis de anchura completa (no ASCII)            no         estandar  0          6c 69 67 65 72 6f 20 ef bc 88 6c 6f 63 61 6c ef bc 89
R35   parentesis de anchura completa (no ASCII)            si         critico   0          6c 69 67 65 72 6f 20 ef bc 88 6c 6f 63 61 6c ef bc 89
R35   parentesis de anchura completa (no ASCII)            <ausente>  estandar  0          6c 69 67 65 72 6f 20 ef bc 88 6c 6f 63 61 6c ef bc 89
R35   parentesis de anchura completa (no ASCII)            quiza      critico   0          6c 69 67 65 72 6f 20 ef bc 88 6c 6f 63 61 6c ef bc 89
R36   CR interior en el valor                              no         estandar  1          6c 69 67 65 72 6f 0d 28 6c 6f 63 61 6c 29
R36   CR interior en el valor                              si         critico   1          6c 69 67 65 72 6f 0d 28 6c 6f 63 61 6c 29
R36   CR interior en el valor                              <ausente>  estandar  1          6c 69 67 65 72 6f 0d 28 6c 6f 63 61 6c 29
R36   CR interior en el valor                              quiza      critico   1          6c 69 67 65 72 6f 0d 28 6c 6f 63 61 6c 29
R37   matiz cuyo texto ES otro nivel                       no         estandar  1          6c 69 67 65 72 6f 20 28 63 72 69 74 69 63 6f 29
R37   matiz cuyo texto ES otro nivel                       si         critico   1          6c 69 67 65 72 6f 20 28 63 72 69 74 69 63 6f 29
R37   matiz cuyo texto ES otro nivel                       <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 63 72 69 74 69 63 6f 29
R37   matiz cuyo texto ES otro nivel                       quiza      critico   1          6c 69 67 65 72 6f 20 28 63 72 69 74 69 63 6f 29
R38   matiz cuyo texto es critico, nivel estandar          no         estandar  1          65 73 74 61 6e 64 61 72 20 28 63 72 69 74 69 63 6f 29
R38   matiz cuyo texto es critico, nivel estandar          si         critico   1          65 73 74 61 6e 64 61 72 20 28 63 72 69 74 69 63 6f 29
R38   matiz cuyo texto es critico, nivel estandar          <ausente>  estandar  1          65 73 74 61 6e 64 61 72 20 28 63 72 69 74 69 63 6f 29
R38   matiz cuyo texto es critico, nivel estandar          quiza      critico   1          65 73 74 61 6e 64 61 72 20 28 63 72 69 74 69 63 6f 29
R39   nivel critico con matiz que dice ligero              no         critico   1          63 72 69 74 69 63 6f 20 28 6c 69 67 65 72 6f 29
R39   nivel critico con matiz que dice ligero              si         critico   1          63 72 69 74 69 63 6f 20 28 6c 69 67 65 72 6f 29
R39   nivel critico con matiz que dice ligero              <ausente>  critico   1          63 72 69 74 69 63 6f 20 28 6c 69 67 65 72 6f 29
R39   nivel critico con matiz que dice ligero              quiza      critico   1          63 72 69 74 69 63 6f 20 28 6c 69 67 65 72 6f 29
R40   parentesis con solo blancos dentro                   no         estandar  1          6c 69 67 65 72 6f 20 28 20 09 20 29
R40   parentesis con solo blancos dentro                   si         critico   1          6c 69 67 65 72 6f 20 28 20 09 20 29
R40   parentesis con solo blancos dentro                   <ausente>  estandar  1          6c 69 67 65 72 6f 20 28 20 09 20 29
R40   parentesis con solo blancos dentro                   quiza      critico   1          6c 69 67 65 72 6f 20 28 20 09 20 29
